"Groupe";"Nom";"CD_REF";"LB_NOM";"NOM_COMPL";"NOM_VERN";"CLASSE";"ORDRE";"FAMILLE";"PN";"PN_det";"LRN";"LRN_det";"LRN_H";"LRN_H_det";"LRN_P";"LRN_P_det";"DH";"DH_det";"DO";"DO_det";"ZH"
"Fonge";"Acarospora epithallina";"58052";"Acarospora epithallina";"Acarospora epithallina H.Magn., 1929";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora erythrocarpa";"58182";"Acarospora erythrocarpa";"Acarospora erythrocarpa (Malbr.) Hue, 1909";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora ferruginea";"1036473";"Acarospora ferruginea";"Acarospora ferruginea (Lettau) Cl.Roux, 2022";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora franconica";"665615";"Acarospora franconica";"Acarospora franconica H.Magn., 1929";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora freyi";"660442";"Acarospora freyi";"Acarospora freyi H.Magn., 1924";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora fusca";"660441";"Acarospora fusca";"Acarospora fusca B.de Lesd., 1914";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora fuscata";"660440";"Acarospora fuscata";"Acarospora fuscata (Ach.) Arnold, 1871";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora gallica";"58122";"Acarospora gallica";"Acarospora gallica H.Magn., 1929";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora glaucocarpa";"660466";"Acarospora glaucocarpa";"Acarospora glaucocarpa (Ach.) Arnold, 1858";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora glaucocarpa var. cervina";"607804";"Acarospora glaucocarpa var. cervina";"Acarospora glaucocarpa var. cervina (Ach.) Cl.Roux, 2015";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora glaucocarpa var. conspersa";"660821";"Acarospora glaucocarpa var. conspersa";"Acarospora glaucocarpa var. conspersa Th.Fr., 1860";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fonge";"Acarospora hellbomii";"660439";"Acarospora hellbomii";"Acarospora hellbomii H.Magn., 1926";NA;"Lecanoromycetes";"Acarosporales";"Acarosporaceae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
